,year,community,count
0,2018,WEST TOWN,12
1,2014,ALBANY PARK,12
2,2014,ARCHER HEIGHTS,12
3,2018,PORTAGE PARK,12
4,2018,NORWOOD PARK,12
5,2018,NORTH PARK,12
6,2018,NORTH LAWNDALE,12
7,2018,NORTH CENTER,12
8,2018,NEW CITY,12
9,2018,NEAR WEST SIDE,12
10,2018,NEAR NORTH SIDE,12
11,2018,MORGAN PARK,12
12,2018,MONTCLARE,12
13,2014,IRVING PARK,12
14,2014,HYDE PARK,12
15,2014,HUMBOLDT PARK,12
16,2014,HERMOSA,12
17,2014,HEGEWISCH,12
18,2014,GRAND BOULEVARD,12
19,2014,GARFIELD RIDGE,12
20,2014,GAGE PARK,12
21,2014,FOREST GLEN,12
22,2014,ENGLEWOOD,12
23,2014,EDGEWATER,12
24,2014,EAST SIDE,12
25,2014,EAST GARFIELD PARK,12
26,2014,NEW CITY,12
27,2014,NEAR WEST SIDE,12
28,2014,NEAR SOUTH SIDE,12
29,2014,NEAR NORTH SIDE,12
30,2014,MORGAN PARK,12
31,2014,MONTCLARE,12
32,2014,MCKINLEY PARK,12
33,2014,LOWER WEST SIDE,12
34,2014,LOOP,12
35,2014,LOGAN SQUARE,12
36,2014,LINCOLN SQUARE,12
37,2014,LINCOLN PARK,12
38,2014,LAKE VIEW,12
39,2014,JEFFERSON PARK,12
40,2014,UPTOWN,12
41,2014,SOUTH SHORE,12
42,2014,SOUTH LAWNDALE,12
43,2014,SOUTH DEERING,12
44,2014,SOUTH CHICAGO,12
45,2014,ROSELAND,12
46,2014,ROGERS PARK,12
47,2014,PORTAGE PARK,12
48,2014,OHARE,12
49,2014,NORWOOD PARK,12
50,2014,NORTH PARK,12
51,2014,NORTH LAWNDALE,12
52,2014,NORTH CENTER,12
53,2015,AUSTIN,12
54,2015,AUBURN GRESHAM,12
55,2015,ASHBURN,12
56,2015,ARMOUR SQUARE,12
57,2015,ARCHER HEIGHTS,12
58,2015,ALBANY PARK,12
59,2014,WOODLAWN,12
60,2014,WEST TOWN,12
61,2014,WEST RIDGE,12
62,2014,WEST PULLMAN,12
63,2014,WEST LAWN,12
64,2014,WEST GARFIELD PARK,12
65,2014,WEST ENGLEWOOD,12
66,2014,WEST ELSDON,12
67,2014,WASHINGTON HEIGHTS,12
68,2015,EDGEWATER,12
69,2015,EAST SIDE,12
70,2015,EAST GARFIELD PARK,12
71,2015,DUNNING,12
72,2015,DOUGLAS,12
73,2015,CLEARING,12
74,2015,CHICAGO LAWN,12
75,2015,CALUMET HEIGHTS,12
76,2015,BRIGHTON PARK,12
77,2015,BRIDGEPORT,12
78,2015,BEVERLY,12
79,2015,BELMONT CRAGIN,12
80,2015,AVONDALE,12
81,2018,MCKINLEY PARK,12
82,2018,LOWER WEST SIDE,12
83,2018,LOOP,12
84,2018,LOGAN SQUARE,12
85,2018,LINCOLN SQUARE,12
86,2018,LINCOLN PARK,12
87,2018,LAKE VIEW,12
88,2018,JEFFERSON PARK,12
89,2018,IRVING PARK,12
90,2018,HUMBOLDT PARK,12
91,2018,HERMOSA,12
92,2018,GREATER GRAND CROSSING,12
93,2018,GRAND BOULEVARD,12
94,2015,LAKE VIEW,12
95,2015,JEFFERSON PARK,12
96,2015,IRVING PARK,12
97,2015,HYDE PARK,12
98,2015,HUMBOLDT PARK,12
99,2015,HERMOSA,12
100,2015,HEGEWISCH,12
101,2015,GARFIELD RIDGE,12
102,2015,GAGE PARK,12
103,2015,FULLER PARK,12
104,2015,FOREST GLEN,12
105,2015,ENGLEWOOD,12
106,2015,NORTH PARK,12
107,2015,NORTH LAWNDALE,12
108,2015,NORTH CENTER,12
109,2015,NEW CITY,12
110,2015,NEAR WEST SIDE,12
111,2015,NEAR SOUTH SIDE,12
112,2015,NEAR NORTH SIDE,12
113,2015,MOUNT GREENWOOD,12
114,2015,MONTCLARE,12
115,2015,MCKINLEY PARK,12
116,2015,LOWER WEST SIDE,12
117,2015,LOOP,12
118,2015,LOGAN SQUARE,12
119,2015,LINCOLN SQUARE,12
120,2015,LINCOLN PARK,12
121,2015,WEST ELSDON,12
122,2015,WASHINGTON HEIGHTS,12
123,2015,UPTOWN,12
124,2015,SOUTH SHORE,12
125,2015,SOUTH LAWNDALE,12
126,2015,SOUTH DEERING,12
127,2015,SOUTH CHICAGO,12
128,2015,ROSELAND,12
129,2015,ROGERS PARK,12
130,2015,PORTAGE PARK,12
131,2015,NORWOOD PARK,12
132,2016,BELMONT CRAGIN,12
133,2016,AVONDALE,12
134,2016,AUSTIN,12
135,2016,AUBURN GRESHAM,12
136,2016,ASHBURN,12
137,2016,ARMOUR SQUARE,12
138,2016,ARCHER HEIGHTS,12
139,2016,ALBANY PARK,12
140,2015,WEST TOWN,12
141,2015,WEST RIDGE,12
142,2015,WEST PULLMAN,12
143,2015,WEST LAWN,12
144,2015,WEST GARFIELD PARK,12
145,2015,WEST ENGLEWOOD,12
146,2018,GARFIELD RIDGE,12
147,2018,FULLER PARK,12
148,2018,ENGLEWOOD,12
149,2018,EDGEWATER,12
150,2018,EAST SIDE,12
151,2018,EAST GARFIELD PARK,12
152,2018,DUNNING,12
153,2018,CLEARING,12
154,2018,CHICAGO LAWN,12
155,2018,CHATHAM,12
156,2016,FOREST GLEN,12
