,community,previous_month_graffiti,previous_month_potholes,previous_month,year_previous,month_previous,realized_crime,true_month
0,HYDE PARK,2.0,127.0,2014-01-01,2014,1,80,2014-02-01
1,SOUTH CHICAGO,23.0,209.0,2014-01-01,2014,1,289,2014-02-01
2,DUNNING,55.0,154.0,2014-01-01,2014,1,116,2014-02-01
3,PULLMAN,4.0,45.0,2014-01-01,2014,1,75,2014-02-01
4,MONTCLARE,22.0,43.0,2014-01-01,2014,1,44,2014-02-01
5,KENWOOD,1.0,42.0,2014-01-01,2014,1,93,2014-02-01
6,WEST ENGLEWOOD,19.0,245.0,2014-01-01,2014,1,467,2014-02-01
7,WASHINGTON HEIGHTS,1.0,270.0,2014-01-01,2014,1,201,2014-02-01
8,ENGLEWOOD,10.0,114.0,2014-01-01,2014,1,479,2014-02-01
9,SOUTH DEERING,20.0,110.0,2014-01-01,2014,1,133,2014-02-01
10,CALUMET HEIGHTS,2.0,82.0,2014-01-01,2014,1,106,2014-02-01
11,BEVERLY,1.0,339.0,2014-01-01,2014,1,58,2014-02-01
12,EAST GARFIELD PARK,28.0,204.0,2014-01-01,2014,1,412,2014-02-01
13,AUSTIN,64.0,665.0,2014-01-01,2014,1,1141,2014-02-01
14,LINCOLN PARK,85.0,458.0,2014-01-01,2014,1,261,2014-02-01
15,WEST LAWN,103.0,136.0,2014-01-01,2014,1,167,2014-02-01
16,EDGEWATER,34.0,263.0,2014-01-01,2014,1,156,2014-02-01
17,ASHBURN,58.0,185.0,2014-01-01,2014,1,169,2014-02-01
18,IRVING PARK,244.0,390.0,2014-01-01,2014,1,200,2014-02-01
19,WEST ELSDON,185.0,83.0,2014-01-01,2014,1,73,2014-02-01
20,ARMOUR SQUARE,41.0,107.0,2014-01-01,2014,1,67,2014-02-01
21,NORTH CENTER,146.0,190.0,2014-01-01,2014,1,105,2014-02-01
22,NEAR WEST SIDE,195.0,471.0,2014-01-01,2014,1,504,2014-02-01
23,NORWOOD PARK,5.0,160.0,2014-01-01,2014,1,74,2014-02-01
24,MORGAN PARK,2.0,160.0,2014-01-01,2014,1,144,2014-02-01
25,CLEARING,6.0,104.0,2014-01-01,2014,1,60,2014-02-01
26,FOREST GLEN,3.0,124.0,2014-01-01,2014,1,37,2014-02-01
27,NORTH LAWNDALE,69.0,188.0,2014-01-01,2014,1,582,2014-02-01
28,LINCOLN SQUARE,275.0,170.0,2014-01-01,2014,1,133,2014-02-01
29,WEST RIDGE,206.0,417.0,2014-01-01,2014,1,225,2014-02-01
30,WEST TOWN,640.0,488.0,2014-01-01,2014,1,479,2014-02-01
31,BRIGHTON PARK,562.0,258.0,2014-01-01,2014,1,207,2014-02-01
32,UPTOWN,76.0,104.0,2014-01-01,2014,1,259,2014-02-01
33,LOGAN SQUARE,579.0,761.0,2014-01-01,2014,1,335,2014-02-01
34,BRIDGEPORT,281.0,169.0,2014-01-01,2014,1,157,2014-02-01
35,LOOP,176.0,260.0,2014-01-01,2014,1,529,2014-02-01
36,ROGERS PARK,126.0,139.0,2014-01-01,2014,1,234,2014-02-01
37,CHICAGO LAWN,160.0,231.0,2014-01-01,2014,1,380,2014-02-01
38,AVONDALE,311.0,356.0,2014-01-01,2014,1,152,2014-02-01
39,NEAR SOUTH SIDE,42.0,80.0,2014-01-01,2014,1,122,2014-02-01
40,PORTAGE PARK,94.0,410.0,2014-01-01,2014,1,224,2014-02-01
41,HUMBOLDT PARK,103.0,278.0,2014-01-01,2014,1,673,2014-02-01
42,DOUGLAS,5.0,74.0,2014-01-01,2014,1,163,2014-02-01
43,NEAR NORTH SIDE,116.0,321.0,2014-01-01,2014,1,644,2014-02-01
44,LOWER WEST SIDE,432.0,376.0,2014-01-01,2014,1,187,2014-02-01
45,NEW CITY,173.0,406.0,2014-01-01,2014,1,358,2014-02-01
46,MCKINLEY PARK,220.0,154.0,2014-01-01,2014,1,86,2014-02-01
47,ARCHER HEIGHTS,287.0,60.0,2014-01-01,2014,1,84,2014-02-01
48,ALBANY PARK,130.0,163.0,2014-01-01,2014,1,187,2014-02-01
49,LAKE VIEW,228.0,363.0,2014-01-01,2014,1,333,2014-02-01
50,SOUTH LAWNDALE,533.0,313.0,2014-01-01,2014,1,311,2014-02-01
51,GAGE PARK,266.0,127.0,2014-01-01,2014,1,167,2014-02-01
52,HERMOSA,138.0,141.0,2014-01-01,2014,1,126,2014-02-01
53,BELMONT CRAGIN,594.0,505.0,2014-01-01,2014,1,319,2014-02-01
54,EAST SIDE,65.0,107.0,2014-01-01,2014,1,95,2014-02-01
55,WEST GARFIELD PARK,5.0,97.0,2014-01-01,2014,1,428,2014-02-01
56,SOUTH SHORE,5.0,553.0,2014-01-01,2014,1,527,2014-02-01
57,WEST PULLMAN,3.0,308.0,2014-01-01,2014,1,293,2014-02-01
58,JEFFERSON PARK,21.0,142.0,2014-01-01,2014,1,78,2014-02-01
59,OHARE,1.0,39.0,2014-01-01,2014,1,146,2014-02-01
60,ROSELAND,27.0,262.0,2014-01-01,2014,1,538,2014-02-01
61,NORTH PARK,29.0,118.0,2014-01-01,2014,1,72,2014-02-01
62,GARFIELD RIDGE,170.0,167.0,2014-01-01,2014,1,130,2014-02-01
63,AUBURN GRESHAM,24.0,438.0,2014-01-01,2014,1,518,2014-02-01
64,WOODLAWN,2.0,168.0,2014-01-01,2014,1,238,2014-02-01
65,MOUNT GREENWOOD,6.0,95.0,2014-01-01,2014,1,48,2014-02-01
66,HEGEWISCH,6.0,140.0,2014-01-01,2014,1,41,2014-02-01
67,CHATHAM,11.0,275.0,2014-01-01,2014,1,383,2014-02-01
68,GRAND BOULEVARD,7.0,108.0,2014-01-01,2014,1,209,2014-02-01
69,MOUNT GREENWOOD,1.0,123.0,2014-02-01,2014,2,50,2014-03-01
70,HEGEWISCH,2.0,162.0,2014-02-01,2014,2,58,2014-03-01
71,NORWOOD PARK,2.0,351.0,2014-02-01,2014,2,136,2014-03-01
72,WOODLAWN,5.0,145.0,2014-02-01,2014,2,302,2014-03-01
73,BURNSIDE,1.0,24.0,2014-02-01,2014,2,36,2014-03-01
74,BEVERLY,3.0,172.0,2014-02-01,2014,2,69,2014-03-01
75,DOUGLAS,3.0,66.0,2014-02-01,2014,2,213,2014-03-01
76,SOUTH SHORE,9.0,410.0,2014-02-01,2014,2,730,2014-03-01
77,HYDE PARK,4.0,167.0,2014-02-01,2014,2,90,2014-03-01
78,WEST GARFIELD PARK,3.0,143.0,2014-02-01,2014,2,534,2014-03-01
79,EAST GARFIELD PARK,22.0,224.0,2014-02-01,2014,2,510,2014-03-01
80,FOREST GLEN,11.0,253.0,2014-02-01,2014,2,36,2014-03-01
81,GREATER GRAND CROSSING,2.0,395.0,2014-02-01,2014,2,549,2014-03-01
82,ROSELAND,9.0,361.0,2014-02-01,2014,2,640,2014-03-01
83,WEST PULLMAN,7.0,149.0,2014-02-01,2014,2,343,2014-03-01
84,EAST SIDE,49.0,170.0,2014-02-01,2014,2,115,2014-03-01
85,AUSTIN,11.0,792.0,2014-02-01,2014,2,1545,2014-03-01
86,SOUTH DEERING,11.0,191.0,2014-02-01,2014,2,170,2014-03-01
87,GRAND BOULEVARD,7.0,103.0,2014-02-01,2014,2,307,2014-03-01
88,ARMOUR SQUARE,54.0,114.0,2014-02-01,2014,2,108,2014-03-01
89,WEST LAWN,95.0,178.0,2014-02-01,2014,2,185,2014-03-01
90,NEAR WEST SIDE,92.0,661.0,2014-02-01,2014,2,652,2014-03-01
91,CLEARING,9.0,176.0,2014-02-01,2014,2,103,2014-03-01
92,GARFIELD RIDGE,151.0,345.0,2014-02-01,2014,2,174,2014-03-01
93,WEST ELSDON,157.0,125.0,2014-02-01,2014,2,99,2014-03-01
94,CHATHAM,5.0,281.0,2014-02-01,2014,2,543,2014-03-01
95,NEAR NORTH SIDE,60.0,376.0,2014-02-01,2014,2,778,2014-03-01
96,ENGLEWOOD,9.0,110.0,2014-02-01,2014,2,628,2014-03-01
97,SOUTH CHICAGO,40.0,136.0,2014-02-01,2014,2,393,2014-03-01
98,LOWER WEST SIDE,615.0,440.0,2014-02-01,2014,2,232,2014-03-01
99,JEFFERSON PARK,51.0,228.0,2014-02-01,2014,2,85,2014-03-01
100,MORGAN PARK,2.0,86.0,2014-02-01,2014,2,131,2014-03-01
101,WASHINGTON HEIGHTS,8.0,282.0,2014-02-01,2014,2,262,2014-03-01
102,CALUMET HEIGHTS,3.0,155.0,2014-02-01,2014,2,128,2014-03-01
103,ALBANY PARK,412.0,237.0,2014-02-01,2014,2,190,2014-03-01
104,NORTH PARK,34.0,258.0,2014-02-01,2014,2,75,2014-03-01
105,PORTAGE PARK,228.0,507.0,2014-02-01,2014,2,291,2014-03-01
106,ARCHER HEIGHTS,261.0,100.0,2014-02-01,2014,2,100,2014-03-01
107,ROGERS PARK,142.0,449.0,2014-02-01,2014,2,318,2014-03-01
108,SOUTH LAWNDALE,1053.0,312.0,2014-02-01,2014,2,379,2014-03-01
